startx,starty,stopx,stopy,length,time,userid
787,637,1129,450,67,1550,55
439,513,1420,211,58,1339,55
1418,213,343,268,65,1219,55
345,266,1135,601,42,914,55
343,132,1227,119,48,913,55
1300,610,448,190,43,805,55
448,190,561,191,45,1175,55
564,193,1185,263,19,538,55
642,551,1324,443,49,1064,55
715,466,717,499,27,854,55
778,417,1327,486,36,716,55
1327,521,464,313,63,1127,55
463,313,1379,254,38,986,55
227,586,986,149,42,930,55
232,413,1196,392,59,1167,55
802,528,569,155,44,707,55
569,155,508,455,41,744,55
508,454,926,443,42,929,55
517,305,789,463,26,591,55
789,463,997,546,39,980,55
998,546,656,216,54,1335,55
176,246,1381,592,37,845,55
1378,591,1378,577,16,358,55
1378,577,672,407,34,950,55
671,407,469,550,30,630,55
470,549,864,222,49,962,55
431,231,1417,510,65,1304,55
1417,510,644,226,43,1319,55
105,340,1053,496,45,953,55
405,247,612,379,31,874,55
1428,365,592,534,41,944,55
593,534,1400,612,54,955,55
936,615,620,434,40,641,55
291,410,879,343,59,1180,55
1135,237,212,250,58,1198,55
937,513,519,282,25,687,55
1252,282,1424,220,52,952,55
1424,221,1184,544,51,977,55
123,556,988,418,56,1105,55
761,94,1186,231,32,649,55
744,530,1120,431,52,948,55
1109,450,1124,461,13,352,55
266,307,267,318,26,878,55
1276,546,1095,513,38,796,55
815,522,806,550,22,634,55
785,529,827,549,26,877,55
827,548,189,326,69,1489,55
139,374,170,373,44,1461,55
168,370,121,349,28,620,55
1399,245,1430,264,23,675,55
290,470,1391,312,34,766,55
277,187,606,488,45,1016,55
606,488,100,199,35,1197,55
1360,226,200,588,36,775,55
1142,424,1146,415,10,506,55
179,500,908,602,41,997,55
908,602,1251,138,59,1525,55
137,246,898,589,44,814,55
524,550,1083,425,48,1148,55
103,428,761,222,41,775,55
991,408,1392,514,46,823,55
156,253,593,306,31,699,55
1024,546,214,467,30,473,55
593,478,581,492,18,390,55
759,605,1115,259,57,1077,55
1114,259,526,308,49,869,55
994,234,431,467,46,1412,55
403,374,761,338,32,591,55
761,338,1290,302,37,1058,55
1285,306,788,374,43,1691,55
788,373,842,323,25,419,55
1128,158,411,394,55,978,55
303,176,281,155,10,197,55
956,662,841,179,45,2055,107
393,232,1146,453,53,1161,107
623,395,266,819,49,833,107
266,819,1382,154,74,2836,107
1356,169,371,432,72,2608,107
425,444,1201,472,34,645,107
1233,466,1707,418,36,639,107
1692,416,1179,301,56,1480,107
1174,307,186,394,27,1002,107
210,394,1433,406,38,1212,107
1435,406,1445,408,13,1580,107
1442,405,1402,347,17,316,107
1408,347,1569,393,54,1027,107
1545,394,666,283,35,941,107
667,293,697,415,21,408,107
693,414,557,352,26,880,107
547,371,396,658,33,725,107
538,638,1453,645,52,1997,107
